Timestamp,Normalized Timestamp (s),Temperature (C),Pressure (hPa),Humidity (%),VOC (ppm),CO2 (ppm),MQ3 (ppm),HCHO (ppm)
2025-08-19 16:47:41.498594,0.0,28.63,1015.03,39.0,1.0,1.25,1.2,1.15
2025-08-19 16:47:41.588493,0.09,28.64,1015.02,39.0,1.2,1.15,1.1,1.15
2025-08-19 16:47:41.675147,0.18,28.65,1015.06,38.99,1.0,1.2,1.1,1.15
2025-08-19 16:47:41.762346,0.26,28.66,1015.04,39.0,1.2,1.05,1.1,1.05
2025-08-19 16:47:41.848890,0.35,28.67,1015.03,39.01,1.0,1.15,1.3,1.2
2025-08-19 16:47:41.936882,0.44,28.67,1015.04,39.0,1.1,1.15,0.9,1.15
2025-08-19 16:47:42.023593,0.53,28.68,1015.02,39.01,1.1,1.15,1.1,1.15
2025-08-19 16:47:42.110443,0.61,28.69,1015.02,39.01,1.0,1.1,1.0,1.1
2025-08-19 16:47:42.198529,0.7,28.69,1015.04,39.01,1.1,1.15,1.1,1.15
2025-08-19 16:47:42.285240,0.79,28.7,1015.03,39.01,1.2,1.15,1.1,1.15
2025-08-19 16:47:42.371762,0.87,28.7,1015.04,38.99,1.0,1.15,1.1,1.15
2025-08-19 16:47:42.459440,0.96,28.7,1015.03,39.01,1.0,1.1,1.0,1.1
2025-08-19 16:47:42.546093,1.05,28.71,1015.03,39.0,1.0,1.15,1.1,1.15
2025-08-19 16:47:42.631280,1.13,28.71,1015.02,39.0,1.0,1.15,1.1,1.15
2025-08-19 16:47:42.721618,1.22,28.71,1015.04,39.0,1.0,1.15,1.1,1.15
2025-08-19 16:47:42.805357,1.31,28.71,1015.03,39.0,1.0,1.1,1.0,1.1
2025-08-19 16:47:42.891621,1.39,28.72,1015.03,39.0,1.0,1.15,1.1,1.15
2025-08-19 16:47:42.976631,1.48,28.72,1015.03,39.0,1.1,1.15,1.0,1.1
2025-08-19 16:47:43.061251,1.56,28.72,1015.02,39.0,1.1,1.15,1.1,1.15
2025-08-19 16:47:43.144211,1.65,28.72,1015.01,39.0,1.0,1.15,1.0,1.1
2025-08-19 16:47:43.231647,1.73,28.72,1015.01,39.0,1.0,1.15,1.1,1.15
2025-08-19 16:47:43.315206,1.82,28.72,1015.01,38.99,1.0,1.15,1.1,1.1
2025-08-19 16:47:43.402880,1.9,28.72,1015.02,38.99,1.0,1.15,1.0,1.15
2025-08-19 16:47:43.487747,1.99,28.73,1015.01,39.0,1.1,1.15,1.1,1.15
2025-08-19 16:47:43.569434,2.07,28.73,1015.0,39.0,1.0,1.1,1.1,1.15
2025-08-19 16:47:43.655986,2.16,28.73,1015.03,38.98,1.1,1.15,1.1,1.15
2025-08-19 16:47:43.739047,2.24,28.73,1015.03,39.0,1.0,1.15,1.0,1.1
2025-08-19 16:47:43.825272,2.33,28.73,1015.03,38.98,1.1,1.15,1.1,1.15
2025-08-19 16:47:43.907764,2.41,28.73,1015.02,39.0,1.0,1.1,1.0,1.15
2025-08-19 16:47:43.991264,2.49,28.73,1015.01,38.98,1.1,1.15,1.1,1.15
2025-08-19 16:47:44.074368,2.58,28.74,1015.01,39.0,1.0,1.1,1.1,1.15
2025-08-19 16:47:44.160574,2.66,28.74,1015.02,38.99,1.0,1.15,1.1,1.15
2025-08-19 16:47:44.244616,2.75,28.74,1015.02,38.98,1.0,1.15,0.6,1.15
2025-08-19 16:47:44.328259,2.83,28.74,1015.02,38.98,1.0,1.15,1.0,1.15
2025-08-19 16:47:44.413029,2.91,28.74,1015.01,38.99,1.0,1.15,1.1,1.2
2025-08-19 16:47:44.497892,3.0,28.74,1015.0,38.98,1.1,1.15,1.1,1.15
2025-08-19 16:47:44.579169,3.08,28.74,1015.01,38.98,1.0,1.15,1.0,1.15
2025-08-19 16:47:44.665951,3.17,28.75,1015.01,38.97,1.1,1.15,1.1,1.1
2025-08-19 16:47:44.750232,3.25,28.75,1015.0,38.98,1.0,1.15,1.1,1.15
2025-08-19 16:47:44.834451,3.34,28.75,1015.03,38.98,1.0,1.3,1.0,1.15
2025-08-19 16:47:44.919958,3.42,28.75,1015.03,38.98,1.0,1.1,1.1,1.15
2025-08-19 16:47:45.004715,3.51,28.75,1015.03,38.97,1.0,1.15,1.1,1.15
2025-08-19 16:47:45.085885,3.59,28.75,1015.02,38.98,1.0,1.1,0.9,1.1
2025-08-19 16:47:45.172825,3.67,28.75,1015.02,38.97,1.1,1.15,1.1,1.15
2025-08-19 16:47:45.254203,3.76,28.75,1015.02,38.96,1.0,1.1,1.0,1.15
2025-08-19 16:47:45.340739,3.84,28.75,1015.02,38.98,1.0,1.15,1.1,1.15
2025-08-19 16:47:45.424857,3.93,28.75,1015.02,38.97,1.1,1.15,1.1,1.05
2025-08-19 16:47:45.506310,4.01,28.76,1015.02,38.97,1.0,1.1,1.0,1.15
2025-08-19 16:47:45.595867,4.1,28.76,1015.03,38.97,1.1,1.05,1.1,1.15
2025-08-19 16:47:45.677140,4.18,28.76,1015.02,38.97,1.0,1.1,1.1,1.1
2025-08-19 16:47:45.763063,4.26,28.76,1015.02,38.95,1.0,1.05,1.1,1.15
2025-08-19 16:47:45.847507,4.35,28.76,1015.02,38.96,1.5,1.15,1.1,1.1
2025-08-19 16:47:45.933284,4.43,28.76,1015.02,38.97,1.0,1.15,1.0,1.15
2025-08-19 16:47:46.019275,4.52,28.76,1015.02,38.97,1.0,1.15,1.1,1.15
2025-08-19 16:47:46.100796,4.6,28.76,1015.02,38.94,0.9,1.1,1.1,1.1
2025-08-19 16:47:46.187822,4.69,28.76,1015.02,38.95,1.0,1.15,1.1,1.15
2025-08-19 16:47:46.269957,4.77,28.76,1015.02,38.95,1.1,1.1,1.0,1.15
