Timestamp,Normalized Timestamp (s),Temperature (C),Pressure (hPa),Humidity (%),VOC (ppm),CO2 (ppm),MQ3 (ppm),HCHO (ppm)
2025-08-19 17:08:14.580054,0.0,28.41,1015.28,40.09,0.9,1.1,0.7,1.1
2025-08-19 17:08:14.669522,0.09,28.42,1015.29,40.08,0.9,1.0,0.8,1.0
2025-08-19 17:08:14.756225,0.18,28.43,1015.28,40.09,0.9,1.1,0.9,1.05
2025-08-19 17:08:14.844069,0.26,28.44,1015.29,40.09,0.9,1.1,1.0,1.1
2025-08-19 17:08:14.930896,0.35,28.45,1015.28,40.09,0.9,1.1,0.8,1.05
2025-08-19 17:08:15.018206,0.44,28.46,1015.29,40.08,0.9,1.1,0.8,1.05
2025-08-19 17:08:15.104771,0.52,28.47,1015.29,40.11,0.9,1.1,0.9,1.1
2025-08-19 17:08:15.191640,0.61,28.47,1015.28,40.09,0.9,1.05,0.8,1.05
2025-08-19 17:08:15.278218,0.7,28.48,1015.3,40.08,0.9,1.1,0.8,1.1
2025-08-19 17:08:15.365046,0.79,28.49,1015.29,40.09,0.9,1.0,0.9,1.1
2025-08-19 17:08:15.453075,0.87,28.49,1015.28,40.09,0.9,1.05,0.8,1.1
2025-08-19 17:08:15.540672,0.96,28.5,1015.3,40.08,0.7,1.05,0.7,1.0
2025-08-19 17:08:15.628436,1.05,28.5,1015.29,40.09,0.7,1.05,0.8,1.05
2025-08-19 17:08:15.711413,1.13,28.5,1015.28,40.08,0.8,1.05,0.8,1.05
2025-08-19 17:08:15.795013,1.22,28.51,1015.28,40.09,0.7,1.05,0.7,1.05
2025-08-19 17:08:15.878197,1.3,28.51,1015.28,40.08,0.8,1.05,0.8,1.05
2025-08-19 17:08:15.961528,1.38,28.52,1015.33,40.09,0.7,1.0,0.8,1.0
2025-08-19 17:08:16.048119,1.47,28.52,1015.32,40.08,0.7,1.05,0.8,1.05
2025-08-19 17:08:16.129368,1.55,28.52,1015.31,40.08,0.7,1.0,0.7,0.95
2025-08-19 17:08:16.216764,1.64,28.53,1015.31,40.08,0.7,1.1,0.9,1.05
2025-08-19 17:08:16.298789,1.72,28.53,1015.31,40.08,0.7,1.05,0.8,1.05
2025-08-19 17:08:16.382493,1.8,28.53,1015.3,40.07,0.7,1.0,0.7,1.05
2025-08-19 17:08:16.469597,1.89,28.53,1015.3,40.07,0.7,1.05,0.8,1.05
2025-08-19 17:08:16.554541,1.97,28.53,1015.3,40.09,0.7,1.0,0.8,1.05
2025-08-19 17:08:16.638784,2.06,28.53,1015.3,40.08,0.8,1.05,0.9,1.05
2025-08-19 17:08:16.721494,2.14,28.53,1015.32,40.08,0.7,1.0,0.8,1.0
2025-08-19 17:08:16.807955,2.23,28.53,1015.31,40.07,0.8,1.05,0.8,1.05
2025-08-19 17:08:16.892178,2.31,28.54,1015.31,40.07,0.7,1.05,0.7,1.05
2025-08-19 17:08:16.978413,2.4,28.54,1015.31,40.07,0.8,1.05,0.7,1.05
2025-08-19 17:08:17.063575,2.48,28.54,1015.31,40.08,0.8,1.05,0.8,1.05
2025-08-19 17:08:17.146985,2.57,28.54,1015.3,40.06,0.8,1.05,0.8,1.05
2025-08-19 17:08:17.232761,2.65,28.54,1015.3,40.07,0.8,1.05,0.8,1.05
2025-08-19 17:08:17.316277,2.74,28.54,1015.3,40.07,0.7,1.05,0.7,1.05
2025-08-19 17:08:17.402864,2.82,28.54,1015.3,40.06,0.7,1.05,0.8,1.05
2025-08-19 17:08:17.487326,2.91,28.54,1015.3,40.05,0.7,1.05,0.7,1.0
2025-08-19 17:08:17.572795,2.99,28.54,1015.3,40.05,0.7,1.05,0.8,1.05
2025-08-19 17:08:17.658024,3.08,28.54,1015.29,40.05,0.7,1.0,0.7,1.05
2025-08-19 17:08:17.742532,3.16,28.54,1015.3,40.05,0.7,1.05,0.8,1.05
2025-08-19 17:08:17.826078,3.25,28.54,1015.29,40.05,0.7,1.0,0.7,1.05
2025-08-19 17:08:17.912010,3.33,28.54,1015.3,40.05,0.7,1.0,0.8,1.05
2025-08-19 17:08:17.995409,3.42,28.54,1015.3,40.04,0.7,1.05,0.7,1.05
2025-08-19 17:08:18.081337,3.5,28.54,1015.3,40.04,0.7,1.05,0.8,0.95
2025-08-19 17:08:18.166235,3.59,28.54,1015.31,40.05,0.7,1.05,0.7,1.05
2025-08-19 17:08:18.250838,3.67,28.54,1015.3,40.03,0.7,1.05,0.8,1.1
2025-08-19 17:08:18.333798,3.75,28.54,1015.3,40.03,0.8,1.05,0.8,1.05
2025-08-19 17:08:18.418203,3.84,28.54,1015.3,40.03,0.7,1.0,0.7,1.05
2025-08-19 17:08:18.507480,3.93,28.54,1015.3,40.03,0.7,1.05,0.8,1.05
2025-08-19 17:08:18.592404,4.01,28.54,1015.3,40.03,0.7,1.1,0.7,1.05
2025-08-19 17:08:18.680977,4.1,28.54,1015.3,40.04,0.7,1.05,0.8,1.05
2025-08-19 17:08:18.766080,4.19,28.54,1015.3,40.02,0.7,1.0,0.8,1.05
2025-08-19 17:08:18.850538,4.27,28.54,1015.31,40.02,0.7,1.05,0.8,1.05
2025-08-19 17:08:18.933776,4.35,28.54,1015.31,40.03,0.7,1.0,0.7,1.05
2025-08-19 17:08:19.020957,4.44,28.54,1015.32,40.02,0.7,1.05,0.8,1.05
2025-08-19 17:08:19.105404,4.53,28.54,1015.32,40.01,0.8,1.05,0.8,1.05
2025-08-19 17:08:19.188782,4.61,28.54,1015.31,40.02,0.7,1.0,0.9,1.05
2025-08-19 17:08:19.275633,4.7,28.54,1015.31,40.0,0.7,1.05,0.8,1.05
2025-08-19 17:08:19.358800,4.78,28.54,1015.3,40.02,0.7,1.05,0.7,1.05
2025-08-19 17:08:19.447026,4.87,28.54,1015.3,40.02,0.7,1.05,1.5,1.05
2025-08-19 17:08:19.531340,4.95,28.54,1015.29,40.02,0.7,1.0,0.8,1.05
2025-08-19 17:08:19.617414,5.04,28.54,1015.29,40.0,0.7,1.05,0.8,1.05
2025-08-19 17:08:19.702886,5.12,28.54,1015.28,40.0,0.7,1.05,0.8,1.05
2025-08-19 17:08:19.786359,5.21,28.55,1015.28,40.0,0.8,1.05,0.8,1.05
2025-08-19 17:08:19.869945,5.29,28.55,1015.27,40.0,0.7,1.05,0.7,1.0
2025-08-19 17:08:19.956943,5.38,28.55,1015.27,39.99,0.7,1.05,0.8,1.05
2025-08-19 17:08:20.041146,5.46,28.55,1015.27,40.0,0.7,1.05,0.8,1.05
2025-08-19 17:08:20.125337,5.55,28.55,1015.28,40.0,0.7,1.05,0.8,1.05
2025-08-19 17:08:20.211146,5.63,28.55,1015.28,40.0,0.8,1.0,0.8,1.05
2025-08-19 17:08:20.292267,5.71,28.55,1015.27,40.0,0.7,1.05,0.7,1.05
2025-08-19 17:08:20.379124,5.8,28.55,1015.28,40.01,0.7,1.05,0.8,1.05
2025-08-19 17:08:20.461150,5.88,28.55,1015.28,40.0,0.7,1.05,0.8,1.05
2025-08-19 17:08:20.545635,5.97,28.55,1015.28,39.99,0.7,1.05,0.8,1.05
