Timestamp,Normalized Timestamp (s),Temperature (C),Pressure (hPa),Humidity (%),VOC (ppm),CO2 (ppm),MQ3 (ppm),HCHO (ppm)
2025-08-19 11:40:20.482611,0.0,28.04,1016.22,41.41,1.2,1.25,1.2,1.25
2025-08-19 11:40:20.569483,0.09,28.05,1016.22,41.41,1.1,1.25,1.1,1.25
2025-08-19 11:40:20.657164,0.17,28.06,1016.23,41.41,1.2,1.25,1.1,1.2
2025-08-19 11:40:20.744689,0.26,28.07,1016.21,41.41,1.2,1.25,1.1,1.25
2025-08-19 11:40:20.831425,0.35,28.08,1016.25,41.42,1.2,1.25,1.2,1.25
2025-08-19 11:40:20.918274,0.44,28.08,1016.24,41.4,1.2,1.3,1.3,1.25
2025-08-19 11:40:21.005983,0.52,28.09,1016.27,41.42,1.2,1.25,1.1,1.4
2025-08-19 11:40:21.092680,0.61,28.09,1016.26,41.42,1.1,1.3,1.1,1.25
2025-08-19 11:40:21.180194,0.7,28.1,1016.25,41.42,1.1,1.25,1.3,1.25
2025-08-19 11:40:21.267338,0.78,28.11,1016.25,41.42,1.1,1.25,1.1,1.25
2025-08-19 11:40:21.354104,0.87,28.11,1016.27,41.42,1.0,1.25,1.1,1.25
2025-08-19 11:40:21.441396,0.96,28.11,1016.26,41.41,1.0,1.25,1.1,1.25
2025-08-19 11:40:21.524666,1.04,28.12,1016.26,41.41,0.9,1.2,1.0,1.2
2025-08-19 11:40:21.611614,1.13,28.12,1016.25,41.41,1.1,1.25,1.1,1.2
2025-08-19 11:40:21.695528,1.21,28.12,1016.25,41.41,1.0,1.25,1.0,1.2
2025-08-19 11:40:21.780398,1.3,28.13,1016.25,41.39,1.1,1.2,1.1,1.25
2025-08-19 11:40:21.865632,1.38,28.13,1016.24,41.4,1.1,1.25,1.1,1.25
2025-08-19 11:40:21.948549,1.47,28.13,1016.26,41.4,1.0,1.25,1.0,1.25
2025-08-19 11:40:22.034562,1.55,28.13,1016.26,41.4,1.1,1.25,1.1,1.25
2025-08-19 11:40:22.118041,1.64,28.13,1016.26,41.4,1.0,1.25,1.0,1.2
2025-08-19 11:40:22.203367,1.72,28.13,1016.25,41.4,1.5,1.25,1.0,1.2
2025-08-19 11:40:22.288246,1.81,28.13,1016.25,41.37,1.0,1.2,1.0,1.25
2025-08-19 11:40:22.375365,1.89,28.14,1016.25,41.4,1.1,1.25,1.1,1.2
2025-08-19 11:40:22.458906,1.98,28.14,1016.25,41.38,1.0,1.2,1.0,1.2
2025-08-19 11:40:22.546451,2.06,28.14,1016.24,41.4,1.1,1.25,1.1,1.45
2025-08-19 11:40:22.629449,2.15,28.14,1016.24,41.38,1.0,1.2,1.0,1.2
2025-08-19 11:40:22.716624,2.23,28.14,1016.24,41.38,1.0,1.2,1.1,1.25
2025-08-19 11:40:22.801093,2.32,28.15,1016.24,41.38,1.0,1.2,1.1,1.2
2025-08-19 11:40:22.883728,2.4,28.15,1016.24,41.38,1.1,1.25,1.1,1.25
2025-08-19 11:40:22.966922,2.48,28.15,1016.26,41.36,1.0,1.2,1.0,1.2
2025-08-19 11:40:23.053369,2.57,28.15,1016.26,41.37,1.1,1.2,1.1,1.25
2025-08-19 11:40:23.137902,2.66,28.15,1016.25,41.37,1.1,1.25,1.1,1.2
2025-08-19 11:40:23.223595,2.74,28.15,1016.26,41.36,1.0,1.2,1.1,1.25
2025-08-19 11:40:23.310290,2.83,28.15,1016.25,41.36,1.1,1.25,1.1,1.25
2025-08-19 11:40:23.391038,2.91,28.15,1016.25,41.35,1.0,1.2,1.0,1.2
2025-08-19 11:40:23.477783,3.0,28.16,1016.25,41.36,1.0,1.25,1.1,1.25
2025-08-19 11:40:23.560989,3.08,28.16,1016.25,41.36,1.0,1.2,1.1,1.2
2025-08-19 11:40:23.647067,3.16,28.16,1016.25,41.34,1.1,1.25,1.1,1.25
2025-08-19 11:40:23.731053,3.25,28.16,1016.24,41.36,1.1,1.15,1.0,1.25
2025-08-19 11:40:23.816686,3.33,28.16,1016.24,41.36,1.1,1.25,1.1,1.25
2025-08-19 11:40:23.901905,3.42,28.16,1016.24,41.36,1.0,1.25,1.1,1.25
2025-08-19 11:40:23.985427,3.5,28.16,1016.24,41.35,1.0,1.25,1.5,1.25
2025-08-19 11:40:24.068429,3.59,28.16,1016.24,41.34,1.0,1.2,1.0,1.2
2025-08-19 11:40:24.154696,3.67,28.16,1016.25,41.33,1.1,1.25,1.1,1.25
2025-08-19 11:40:24.237401,3.75,28.16,1016.24,41.34,0.9,1.2,1.0,1.25
2025-08-19 11:40:24.321493,3.84,28.16,1016.24,41.33,1.0,1.25,1.0,1.2
2025-08-19 11:40:24.406876,3.92,28.16,1016.24,41.33,1.1,1.2,1.1,1.2
2025-08-19 11:40:24.489819,4.01,28.16,1016.24,41.33,1.0,1.25,1.1,1.25
2025-08-19 11:40:24.572761,4.09,28.16,1016.24,41.33,1.0,1.2,1.0,1.2
2025-08-19 11:40:24.659021,4.18,28.16,1016.24,41.33,1.1,1.25,1.1,1.25
